2021-07-16 17:07:46.013 30561-30561/? I/.HappySingapor: Late-enabling -Xcheck:jni
2021-07-16 17:07:46.026 30561-30561/? I/.HappySingapor: Unquickening 22 vdex files!
2021-07-16 17:07:46.026 30561-30561/? E/.HappySingapor: Unknown bits set in runtime_flags: 0x40000000
2021-07-16 17:07:46.038 30561-30561/? E/RefClass: java.lang.reflect.InvocationTargetException
2021-07-16 17:07:46.038 30561-30561/? I/OneTrace: Mark active for pid=30561? true
2021-07-16 17:07:46.064 30561-30561/? V/studio.deploy: Startup agent attached to VM
2021-07-16 17:07:46.064 30561-30561/? V/studio.deploy: No existing instrumentation found. Loading instrumentation from instruments-e7de9b3d.jar
2021-07-16 17:07:46.065 30561-30561/? W/.HappySingapor: DexFile /data/data/com.WangTianyu.HappySingapore/code_cache/.studio/instruments-e7de9b3d.jar is in boot class path but is not in a known location
2021-07-16 17:07:46.065 30561-30561/? I/studio.deploy: Could not open file at '/data/data/com.WangTianyu.HappySingapore/code_cache/.studio/instruments-e7de9b3d.jar.cache/java-lang-Thread': No such file or directory
2021-07-16 17:07:46.114 30561-30561/? W/.HappySingapor: Current dex file has more than one class in it. Calling RetransformClasses on this class might fail if no transformations are applied to it!
2021-07-16 17:07:46.114 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;-><clinit>()V (blacklist, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->EMPTY_STACK_TRACE:[Ljava/lang/StackTraceElement; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->SUBCLASS_IMPLEMENTATION_PERMISSION:Ljava/lang/RuntimePermission; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->lock:Ljava/lang/Object; (greylist, linking, allowed)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->daemon:Z (greylist, linking, allowed)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->threadLocals:Ljava/lang/ThreadLocal$ThreadLocalMap; (greylist, linking, allowed)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->inheritableThreadLocals:Ljava/lang/ThreadLocal$ThreadLocalMap; (greylist, linking, allowed)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nextThreadNum()I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.115 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nextThreadNum()I (greylist-max-o, linking, denied)
